text,label
"ฉันจะส่งเอกสารประกอบการเรียนผ่านระบบนี้",0
"คุยกันต่อที่นี่ปลอดภัยสำหรับทุกฝ่ายมากกว่า",0
"ฉันไม่สามารถเปิดเผยข้อมูลติดต่อส่วนตัวได้",0
"เลือกเวลาเรียนที่ว่างจากปฏิทินของแพลตฟอร์มได้เลย",0
"ช่วยอธิบายคำถามข้อนี้อีกครั้งในแชตได้ไหม",0
"ระบบแจ้งเตือนว่าชั้นเรียนจะเริ่มตอนหกโมง",0
"เพื่อความปลอดภัยอย่าส่งรหัสผ่านหรือเบอร์โทรศัพท์",0
"วันนี้เราจะฝึกเขียนอีเมลสมัครงาน",0
"ฉันได้รับไฟล์จากพื้นที่บทเรียนเรียบร้อยแล้ว",0
"กรุณาอย่าขอให้ผู้สอนติดต่อกันนอกแอป",0
"ฝ่ายบริการช่วยแก้ไขอีเมลที่ลงทะเบียนไว้ได้",0
"ฉันพร้อมเริ่มแบบฝึกหัดถัดไปแล้ว",0
"ช่วยตรวจการออกเสียงของฉันระหว่างบทเรียนได้ไหม",0
"ขอบคุณที่อธิบายไวยากรณ์ได้ชัดเจนมาก",0
"ฉันจะจองบทเรียนครั้งใหม่ผ่านระบบอย่างเป็นทางการ",0
"กรุณาส่งคำตอบก่อนหมดเวลา",0
